name,description,price,original_price,image_url,category_id,supplier_id,in_stock,stock_count,rating,review_count,specifications,features
Hospital Bed Standard,A comfortable standard hospital bed with adjustable height and rails,1500.00,1800.00,/hospital-bed-medical-equipment.jpg,hospital-beds,550e8400-e29b-41d4-a716-446655440000,true,25,4.5,12,"{""brand"": ""MediCare"", ""model"": ""HB-100"", ""dimensions"": ""200x90cm""}","Adjustable height, Side rails, Durable frame"
ICU Bed Advanced,Advanced ICU bed with monitoring capabilities and emergency features,2500.00,3000.00,/hospital-beds-medical-equipment.jpg,hospital-beds,550e8400-e29b-41d4-a716-446655440001,true,10,4.8,8,"{""brand"": ""MediTech"", ""model"": ""ICU-200"", ""weight_capacity"": ""200kg""}","Electronic controls, Trendelenburg position, Emergency CPR release"
Surgical Mask Box,Box of 50 disposable surgical masks for infection control,25.00,30.00,/surgical-masks-box.jpg,ppe-safety,550e8400-e29b-41d4-a716-446655440002,true,100,4.2,25,"{""brand"": ""SafeGuard"", ""quantity"": 50, ""type"": ""disposable""}","Breathable material, Fluid resistant, Comfortable fit"
N95 Respirator Pack,Pack of 20 N95 respirators for high-level protection,50.00,60.00,/medical-ppe-masks-gloves-safety-equipment.jpg,ppe-safety,550e8400-e29b-41d4-a716-446655440003,true,75,4.7,18,"{""brand"": ""ProShield"", ""quantity"": 20, ""certification"": ""N95""}","High filtration, Adjustable straps, Comfortable nose clip"
Stethoscope Professional,High-quality stethoscope for accurate auscultation,120.00,150.00,/diagnostic-medical-tools-stethoscope.jpg,diagnostic-tools,550e8400-e29b-41d4-a716-446655440004,true,30,4.6,15,"{""brand"": ""MediListen"", ""model"": ""ST-300"", ""chestpiece"": ""dual-head""}","Dual-head chestpiece, Stainless steel, Soft ear tips"
Blood Pressure Monitor Digital,Digital blood pressure monitor with LCD display,80.00,100.00,/blood-pressure-monitor.png,diagnostic-tools,550e8400-e29b-41d4-a716-446655440005,true,40,4.4,22,"{""brand"": ""HealthCheck"", ""model"": ""BP-500"", ""cuff_size"": ""standard""}","Automatic inflation, Memory function, Large display"
Surgical Scissors Set,Set of precision surgical scissors for various procedures,200.00,250.00,/surgical-instruments-medical-tools.jpg,surgical-instruments,550e8400-e29b-41d4-a716-446655440006,true,15,4.9,7,"{""brand"": ""Precision"", ""material"": ""stainless steel"", ""set_size"": 5}","Sharp blades, Ergonomic handles, Sterilizable"
Forceps Medical,Medical forceps for grasping and holding tissues,150.00,180.00,/surgical-instruments-medical-tools.jpg,surgical-instruments,550e8400-e29b-41d4-a716-446655440007,true,20,4.3,10,"{""brand"": ""MediGrip"", ""type"": ""artery forceps"", ""length"": ""15cm""}","Fine tips, Locking mechanism, Durable construction"
Laboratory Centrifuge,High-speed centrifuge for sample separation,800.00,1000.00,/laboratory-centrifuge.jpg,laboratory-equipment,550e8400-e29b-41d4-a716-446655440008,true,5,4.7,9,"{""brand"": ""LabSpin"", ""model"": ""LC-1000"", ""max_speed"": ""5000rpm""}","Variable speed, Safety lid, Quiet operation"
Microscope Compound,Compound microscope for detailed specimen examination,600.00,750.00,/laboratory-equipment-microscope-medical.jpg,laboratory-equipment,550e8400-e29b-41d4-a716-446655440009,true,8,4.5,12,"{""brand"": ""MicroView"", ""magnification"": ""1000x"", ""illumination"": ""LED""}","Binocular eyepieces, Mechanical stage, Abbe condenser"
Syringes Pack,Pack of 100 disposable syringes with needles,30.00,35.00,/medical-consumables-syringes-supplies.jpg,consumables,550e8400-e29b-41d4-a716-446655440010,true,200,4.1,30,"{""brand"": ""MediInject"", ""size"": ""5ml"", ""quantity"": 100}","Sterile, Sharp needles, Easy disposal"
Bandages Roll,Medical bandages roll for wound dressing,15.00,20.00,/medical-consumables-syringes-bandages.jpg,consumables,550e8400-e29b-41d4-a716-446655440011,true,150,4.0,20,"{""brand"": ""CareWrap"", ""width"": ""5cm"", ""length"": ""5m""}","Adhesive, Breathable, Flexible"
Wheelchair Manual,Lightweight manual wheelchair for mobility assistance,300.00,350.00,/wheelchair-mobility-aids-medical.jpg,mobility-aids,550e8400-e29b-41d4-a716-446655440012,true,12,4.6,14,"{""brand"": ""MobilityPlus"", ""weight"": ""15kg"", ""seat_width"": ""45cm""}","Foldable, Adjustable seat, Durable wheels"
Walker Adjustable,Adjustable walker with wheels for stability,120.00,140.00,/wheelchair-mobility-aids-medical.jpg,mobility-aids,550e8400-e29b-41d4-a716-446655440013,true,18,4.2,16,"{""brand"": ""SteadyStep"", ""height_range"": ""80-100cm"", ""wheels"": ""4""}","Height adjustable, Locking brakes, Lightweight"
Patient Monitor Basic,Basic patient monitor for vital signs tracking,500.00,600.00,/patient-monitor-medical.jpg,patient-monitoring,550e8400-e29b-41d4-a716-446655440014,true,7,4.8,11,"{""brand"": ""VitalWatch"", ""parameters"": ""BP, HR, SpO2"", ""display"": ""LCD""}","Real-time monitoring, Alarm system, Portable"
ECG Machine Portable,Portable ECG machine for cardiac monitoring,1200.00,1500.00,/patient-monitor-medical-vital-signs.jpg,patient-monitoring,550e8400-e29b-41d4-a716-446655440015,true,4,4.9,6,"{""brand"": ""HeartScan"", ""leads"": 12, ""battery_life"": ""8hrs""}","Wireless, Touch screen, Data storage"
Ultrasound Gel Bottle,Bottle of ultrasound gel for imaging procedures,20.00,25.00,/ultrasound-gel-bottle.jpg,consumables,550e8400-e29b-41d4-a716-446655440016,true,80,4.3,19,"{""brand"": ""EchoGel"", ""volume"": ""250ml"", ""type"": ""water-based""}","Non-greasy, Hypoallergenic, Long-lasting"
Gloves Examination Box,Box of 100 examination gloves for protection,40.00,50.00,/medical-ppe-masks-gloves-safety-equipment.jpg,ppe-safety,550e8400-e29b-41d4-a716-446655440017,true,90,4.4,23,"{""brand"": ""SafeHands"", ""size"": ""medium"", ""quantity"": 100}","Latex-free, Powder-free, Textured grip"
Thermometer Digital,Digital thermometer for accurate temperature measurement,25.00,30.00,/diagnostic-medical-tools-stethoscope.jpg,diagnostic-tools,550e8400-e29b-41d4-a716-446655440018,true,50,4.1,28,"{""brand"": ""TempCheck"", ""type"": ""infrared"", ""accuracy"": ""0.1°C""}","Fast reading, Memory recall, Fever alarm"
Oxygen Concentrator,Portable oxygen concentrator for respiratory support,800.00,1000.00,/patient-monitor-medical.jpg,patient-monitoring,550e8400-e29b-41d4-a716-446655440019,false,0,4.7,9,"{""brand"": ""OxyLife"", ""flow_rate"": ""5L/min"", ""weight"": ""5kg""}","Battery operated, Quiet, Continuous flow"
